Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
665e02c9dd96ccf061083e11,665af1d39e0feaeeb7f07b80,APPROVED,Not Applicable,2024-06-03T17:52:58.579000Z,2024-06-03T18:03:49.239000Z,2024-06-10T14:16:22.499000Z,2024-06-03T18:04:45.551507Z,651.0,C9MPDOEC,0,26,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e02cc646e761a1016a6a2,6658d13e8f1ee667f426421c,APPROVED,Not Applicable,2024-06-03T17:52:16.817000Z,2024-06-03T17:56:07.741000Z,2024-06-10T14:16:22.867000Z,2024-06-03T17:56:08.215361Z,231.0,C9MPDOEC,1,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e02d00a8941f3ae165210,66464eea7fd4a98cc1cedc68,APPROVED,Not Applicable,2024-06-03T17:52:21.137000Z,2024-06-03T17:56:41.606000Z,2024-06-10T14:16:23.133000Z,2024-06-03T17:56:42.120954Z,261.0,C9MPDOEC,4,26,Male,White,Poland,United Kingdom,Poland,English,No,Full-Time
665e02d125cb5f40960dc06c,6082d98fdcf7b54e1b6d15c2,APPROVED,Not Applicable,2024-06-03T17:54:09.133000Z,2024-06-03T18:13:12.515000Z,2024-06-10T14:16:23.594000Z,2024-06-03T18:13:13.938233Z,1144.0,C9MPDOEC,47,46,Female,Black,South Africa,South Africa,South Africa,English,No,Other
665e02d5327b3ae3e3b7ce5b,5b625bb0f1703e0001616ef2,APPROVED,Not Applicable,2024-06-03T17:52:44.734000Z,2024-06-03T18:04:42.968000Z,2024-06-10T14:16:23.926000Z,2024-06-03T18:05:07.097570Z,719.0,C9MPDOEC,187,38,Female,White,Canada,Canada,Canada,English,No,Other
665e02df3da0423bfb6091d6,663a12cee65564a3c9ed0023,APPROVED,Not Applicable,2024-06-03T17:52:47.408000Z,2024-06-03T18:02:59.943000Z,2024-06-10T14:16:24.600000Z,2024-06-03T18:04:02.453661Z,613.0,C9MPDOEC,4,60,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
665e02e613a7d2ff2fb87f44,653e8aa7a31cfbf34da5939a,RETURNED,Not Applicable,2024-06-03T17:52:58.350000Z,,,2024-06-04T09:22:31.169853Z,,,276,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e02f57687a72b1b37ba78,665898d0132cc745af623e3d,RETURNED,Not Applicable,2024-06-03T17:53:00.957000Z,,,2024-06-04T09:22:31.187399Z,,,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e02fd485786864ae6bd8e,6658dc77e4e49937196d37b7,APPROVED,Not Applicable,2024-06-03T17:53:16.465000Z,2024-06-03T17:57:20.389000Z,2024-06-10T14:16:24.949000Z,2024-06-03T17:57:21.072046Z,244.0,C9MPDOEC,4,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e0301748512c88de26f41,605986be77c362e33eac85c2,APPROVED,Not Applicable,2024-06-03T17:54:52.985000Z,2024-06-03T18:11:20.283000Z,2024-06-10T14:16:25.425000Z,2024-06-03T18:11:20.736625Z,988.0,C9MPDOEC,747,38,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
665e0302d9f895041baaa534,6077130137e127a7790e6d46,RETURNED,Not Applicable,2024-06-03T18:03:06.748000Z,,,2024-06-04T09:22:31.203750Z,,,606,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e03034ee902a457a23065,651b16ac6db42c3ece94929e,APPROVED,Not Applicable,2024-06-03T17:53:12.263000Z,2024-06-03T17:57:46.783000Z,2024-06-10T14:16:25.649000Z,2024-06-03T17:57:47.236873Z,275.0,C9MPDOEC,269,29,Male,White,Canada,Canada,Canada,English,No,Other
665e03053150834149e3d093,608fad5ef7c5dc389d357601,APPROVED,Not Applicable,2024-06-03T17:54:10.072000Z,2024-06-03T18:05:33.884000Z,2024-06-10T14:16:25.852000Z,2024-06-03T18:05:34.641183Z,684.0,C9MPDOEC,607,35,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
665e0309416350e120383074,646e0cc3bb54667fbcd25415,APPROVED,Not Applicable,2024-06-03T17:53:18.434000Z,2024-06-03T18:00:38.949000Z,2024-06-10T14:16:26.049000Z,2024-06-03T18:00:39.484727Z,441.0,C9MPDOEC,229,24,Female,Asian,Canada,Canada,Canada,English,No,DATA_EXPIRED
665e030d0017e96c7c3f00e7,60252dbdb3d0e12dc0c137bb,APPROVED,Not Applicable,2024-06-03T17:53:33.435000Z,2024-06-03T17:57:31.797000Z,2024-06-10T14:16:26.245000Z,2024-06-03T17:57:32.731217Z,239.0,C9MPDOEC,774,40,Male,White,Canada,Canada,Canada,English,No,Full-Time
